"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -10.14180166,      -6.996914553,      -9.959181708,      -12.44350546
          0,           0,          77,      -10.28214196,      -6.998358289,      -10.03823702,      -12.43321443
          0,           0,          78,      -10.34366926,      -7.001235481,      -10.08741581,      -12.41336576
          0,           0,          79,      -10.14802013,      -7.006927009,      -9.981412285,      -12.43027619
          0,           0,          80,      -10.29136588,      -7.008323249,      -10.06473752,      -12.42013443
          0,           0,          81,      -10.35493351,      -7.011107226,      -10.11716723,       -12.4005683
          0,           0,          82,      -10.14822388,      -7.016615244,      -9.991074389,      -12.41628346
          0,           0,          83,      -10.29404576,      -7.017964395,      -10.07771687,      -12.40632725
          0,           0,          84,      -10.35702057,      -7.020655801,      -10.13331615,      -12.38705398
          0,           0,          85,      -10.13399283,      -7.025981036,      -9.989735311,      -12.40156298
          0,           0,          86,      -10.28126471,      -7.027283277,      -10.07982394,      -12.39182024
          0,           0,          87,      -10.33904389,      -7.029882271,      -10.13806266,       -12.3728632
          0,           0,          88,      -10.10203579,      -7.035024527,      -9.981830907,      -12.38618133
          0,           0,          89,      -10.25055885,      -7.036279867,      -10.07376594,      -12.37665188
          0,           0,          90,      -10.30298224,      -7.038786223,      -10.13089522,      -12.35804093
          0,           0,          91,      -10.06259329,      -7.043744538,      -9.969456278,       -12.3702112
          0,           0,          92,      -10.21275582,      -7.044952811,      -10.05867872,      -12.36087269
          0,           0,          93,      -10.26383773,      -7.047365954,      -10.10909317,      -12.34263559
          0,           0,          94,      -10.02946076,      -7.052138735,      -9.952623178,      -12.35371084
          0,           0,          95,      -10.18148148,      -7.053299586,      -10.03407863,      -12.34454003
          0,           0,          96,      -10.23460776,      -7.055618653,      -10.07510004,      -12.32669603
          0,           0,          97,      -10.01011787,      -7.060203921,      -9.932343518,      -12.33672454
          0,           0,          98,      -10.16375881,      -7.061316848,        -10.004177,      -12.32771807
          0,           0,          99,      -10.21985257,       -7.06354085,      -10.03805757,      -12.31027873
          0,           0,         100,      -10.00509167,      -7.067936615,      -9.912055219,      -12.31930359
          0,           0,         101,      -10.15971331,      -7.069001109,      -9.976444082,      -12.31047387
          0,           0,         102,      -10.21769801,      -7.071129183,      -10.00785887,      -12.29344781
          0,           0,         103,      -10.01035692,      -7.075333928,      -9.896312455,      -12.30151009
          0,           0,         104,      -10.16519527,      -7.076349639,      -9.957371277,      -12.29288742
          0,           0,         105,      -10.22304159,      -7.078381319,      -9.990630341,      -12.27627743
          0,           0,         106,      -10.01978558,      -7.082394468,      -9.888512973,      -12.28341309
          0,           0,         107,      -10.17445591,      -7.083361358,       -9.95002985,      -12.27504848
          0,           0,         108,      -10.23044148,      -7.085296789,      -9.988011952,      -12.25884818
          0,           0,         109,      -10.02766194,      -7.089119082,      -9.889244055,       -12.2650861
          0,           0,         110,      -10.18255704,      -7.090037518,      -9.953604655,      -12.25705625
          0,           0,         111,      -10.23615151,      -7.091877584,      -9.997673913,      -12.24123821
          0,           0,         112,      -10.03044749,      -7.095511344,      -9.895762909,      -12.24661512
          0,           0,         113,      -10.18653888,      -7.096382143,      -9.963847496,      -12.23898161
          0,           0,         114,        -10.238197,       -7.09812854,      -10.01401051,      -12.22350847
          0,           0,         115,      -10.02663472,      -7.101577826,      -9.902958046,      -12.22810771
          0,           0,         116,      -10.18477729,      -7.102402261,      -9.974525178,      -12.22077708
          0,           0,         117,      -10.23497937,      -7.104057552,      -10.02967083,      -12.20566114
          0,           0,         118,      -10.01556829,      -7.107328258,       -9.90585178,      -12.20965429
          0,           0,         119,      -10.17595642,      -7.108108066,      -9.979994904,      -12.20226222
          0,           0,         120,      -10.22463795,      -7.109675899,      -10.03821234,      -12.18770436
          0,           0,         121,      -9.997241343,      -7.112776635,      -9.902072094,       -12.1913521
          0,           0,         122,      -10.15939129,      -7.113514183,      -9.977350901,      -12.18369333
          0,           0,         123,      -10.20627689,      -7.114999631,      -10.03617418,      -12.16979581
          0,           0,         124,      -9.973118606,       -7.11794277,         -9.891949,      -12.17299663
          0,           0,         125,      -10.13624506,      -7.118641297,       -9.96629532,      -12.16579955
          0,           0,         126,      -10.18148478,      -7.120050825,      -10.02298183,      -12.15226283
          0,           0,         127,      -9.946289279,      -7.122850579,      -9.876731318,      -12.15480344
          0,           0,         128,      -10.10972321,      -7.123513757,      -9.947777789,      -12.15240402
          0,           0,         129,      -10.21754695,      -7.124178804,      -9.980260658,      -12.14603298
          0,           0,         130,      -10.18626715,      -7.125515916,      -10.00984022,      -12.13269238
          0,           0,         131,      -9.915655426,      -7.128175546,      -9.850828785,        -12.134858
          0,           0,         132,      -10.08412303,      -7.128803924,      -9.919822167,      -12.13227446
          0,           0,         133,      -10.19705628,      -7.129434843,       -9.95006957,      -12.12536474
          0,           0,         134,      -10.16254119,      -7.130707197,       -9.97858423,      -12.11280395
          0,           0,         135,      -9.890907677,      -7.133249213,      -9.825918063,      -12.11450434
          0,           0,         136,      -10.06027492,       -7.13384833,      -9.890839177,      -12.11225511
          0,           0,         137,      -10.17638632,      -7.134450707,      -9.919534083,      -12.10630767
          0,           0,         138,      -10.14523068,      -7.135667911,      -9.946226281,        -12.093936
          0,           0,         139,      -9.877451064,      -7.138110099,      -9.802013081,      -12.09537066
          0,           0,         140,      -10.04768002,      -7.138684097,      -9.863858268,      -12.09259528
          0,           0,         141,      -10.16238965,       -7.13926232,      -9.891776038,      -12.08655355
          0,           0,         142,      -10.12862817,      -7.140435292,      -9.918427651,      -12.07478523
          0,           0,         143,      -9.862142293,      -7.142803134,      -9.781430783,      -12.07590229
          0,           0,         144,      -10.03215617,      -7.143358269,      -9.841877485,      -12.07394011
          0,           0,         145,      -10.14680344,      -7.143918525,      -9.870305706,      -12.07189544
          0,           0,         146,      -10.20235205,       -7.14448058,      -9.893291463,      -12.06909404
          0,           0,         147,      -10.22842264,      -7.145043107,      -9.904285057,      -12.06655337
          0,           0,         148,      -10.24315824,      -7.145605598,      -9.911685936,      -12.06443902
          0,           0,         149,      -10.25216337,      -7.146167785,      -9.918052757,      -12.06252224
          0,           0,         150,      -10.26045642,      -7.146729667,       -9.92275441,      -12.06046755
          0,           0,         151,      -10.27070553,      -7.147291478,      -9.925924696,      -12.05763748
          0,           0,         152,      -10.28120832,      -7.147853767,      -9.928459162,      -12.05517278
          0,           0,         153,      -10.28885105,      -7.148416935,      -9.931046884,      -12.05311534
          0,           0,         154,      -10.29241727,      -7.148981102,      -9.933850915,      -12.05123667
          0,           0,         155,       -10.2927254,       -7.14954614,      -9.936751852,      -12.04913212
          0,           0,         156,       -10.2914878,      -7.150111744,      -9.939633754,      -12.04629274
          0,           0,         157,      -10.29062258,      -7.150677739,      -9.942507232,      -12.04393125
          0,           0,         158,      -10.29158475,      -7.151243787,       -9.94546339,      -12.04193891
          0,           0,         159,      -10.29501668,      -7.151809525,      -9.948563713,      -12.04009916
          0,           0,         160,      -10.30123232,      -7.152374676,      -9.951782417,      -12.03789025
          0,           0,         161,      -10.31064401,      -7.152939119,      -9.955054765,      -12.03508888
          0,           0,         162,      -10.32295276,      -7.153503062,       -9.95834844,      -12.03284435
          0,           0,         163,      -10.33586878,       -7.15406658,      -9.961609539,      -12.03091852
          0,           0,         164,      -10.34584532,      -7.154629717,      -9.964630228,      -12.02911175
          0,           0,         165,      -10.35108581,      -7.155192521,      -9.967085703,      -12.02674168
          0,           0,         166,      -10.35261015,      -7.155755139,      -9.968776891,      -12.02404741
          0,           0,         167,      -10.35170635,      -7.156317865,      -9.969761748,       -12.0219218
          0,           0,         168,      -10.34856071,      -7.156880753,      -9.970204546,      -12.02006034
          0,           0,         169,      -10.34382921,      -7.157443779,      -9.970199794,      -12.01826805
          0,           0,         170,      -10.33911908,      -7.158006885,      -9.969795232,      -12.01570961
          0,           0,         171,      -10.33532562,      -7.158570144,      -9.969085793,      -12.01318262
          0,           0,         172,      -10.33198721,      -7.159133657,      -9.968210517,      -12.01116904
          0,           0,         173,      -10.32840398,       -7.15969732,      -9.967296106,      -12.00936684
          0,           0,         174,      -10.32442273,         -7.160261,      -9.966433413,      -12.00753754
          0,           0,         175,      -10.32011493,      -7.160824565,      -9.965674381,      -12.00483121
          0,           0,         176,      -10.31540282,      -7.161388135,      -9.965020825,        -12.002498
