"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -6.116690504,      -3.873948335,      -5.376778439,     -0.6548561493
          0,           0,          76,      -6.097234442,      -3.996393136,       -5.42731894,     -0.6354097249
          0,           0,          77,      -6.084873201,      -4.172634802,      -5.484123415,     -0.6230313105
          0,           0,          78,      -6.079149486,      -4.468996325,      -5.547280162,     -0.6172737812
          0,           0,          79,      -6.079814339,      -4.873116341,      -5.615888207,     -0.6178985459
          0,           0,          80,      -6.086792078,      -4.405424235,      -5.686597407,     -0.6248402873
          0,           0,          81,      -6.100169409,       -4.14774613,      -5.751278289,     -0.6381957621
          0,           0,          82,      -6.120206544,      -3.991032941,      -5.795972237,     -0.6582346289
          0,           0,          83,      -6.147372798,      -3.882152684,      -5.807411154,     -0.6854349317
          0,           0,          84,      -6.182415039,      -3.801544852,      -5.785566491,     -0.7205517454
          0,           0,          85,      -6.226477867,      -3.739999663,      -5.743387062,     -0.7647380668
          0,           0,          86,       -6.28131514,        -3.6924833,      -5.694220821,      -0.819757949
          0,           0,          87,      -6.349677573,      -3.655972658,      -5.645670475,     -0.8883774535
          0,           0,          88,      -6.436074817,      -3.628542161,      -5.600823611,     -0.9751339282
          0,           0,          89,      -6.548402242,      -3.608927002,      -5.560569939,      -1.087979024
          0,           0,          90,      -6.701629174,      -3.596295869,      -5.524837672,      -1.241998524
          0,           0,          91,      -6.923166723,      -3.590125788,      -5.493183186,      -1.464638955
          0,           0,          92,      -7.154160264,      -3.590132991,      -5.465281364,      -1.692326171
          0,           0,          93,       -6.97183077,      -3.596236426,      -5.441035066,      -1.506022829
          0,           0,          94,      -6.743108637,      -3.608534833,       -5.42086633,      -1.278748403
          0,           0,          95,      -6.587374417,      -3.627310142,      -5.405775663,      -1.123949131
          0,           0,          96,      -6.476154178,      -3.653079963,      -5.396397574,      -1.013289555
          0,           0,          97,      -6.392752125,      -3.686665961,      -5.392998029,     -0.9302498137
          0,           0,          98,      -6.328462739,      -3.729314528,      -5.395614543,     -0.8662028193
          0,           0,          99,      -6.278377812,      -3.782918365,      -5.404146126,     -0.8162783977
          0,           0,         100,      -6.239528664,      -3.850442545,      -5.418429251,      -0.777529279
          0,           0,         101,      -6.210028198,      -3.936815802,      -5.438216575,     -0.7480826377
          0,           0,         102,      -6.188641009,      -4.051042564,      -5.463056291,     -0.7267142282
          0,           0,         103,      -6.174552747,      -4.212239361,      -5.492016348,     -0.7126195083
          0,           0,         104,      -6.167240828,      -4.472878842,      -5.523279469,     -0.7052850791
          0,           0,         105,      -6.166401562,      -4.993037095,      -5.553678261,     -0.7044160337
          0,           0,         106,      -6.171912099,       -4.58957536,      -5.578569529,      -0.709897899
          0,           0,         107,      -6.183817053,      -4.284169859,      -5.592733666,     -0.7217831713
          0,           0,         108,      -6.202336262,      -4.109842861,      -5.592611029,     -0.7402989919
          0,           0,         109,      -6.227895201,      -3.991818472,      -5.578445818,     -0.7658775884
          0,           0,         110,      -6.261185474,       -3.90550826,         -5.554054,     -0.7992169691
          0,           0,         111,      -6.303272183,      -3.839984618,       -5.52450843,     -0.8413888266
          0,           0,         112,      -6.355783444,      -3.789475673,      -5.494084349,     -0.8940292071
          0,           0,         113,      -6.421258022,      -3.750589759,      -5.465573026,     -0.9596885749
          0,           0,         114,      -6.503826168,      -3.721195007,      -5.440482832,      -1.042518106
          0,           0,         115,      -6.610662942,      -3.699899229,      -5.419465569,      -1.149736475
          0,           0,         116,      -6.755380872,       -3.68578448,      -5.402676874,      -1.295058735
          0,           0,         117,      -6.965300934,      -3.678263098,      -5.389985762,      -1.506028663
          0,           0,         118,      -7.240341847,      -3.676997869,      -5.381128963,      -1.780975645
          0,           0,         119,      -7.127252802,      -3.681853727,      -5.376102834,      -1.662811467
          0,           0,         120,      -6.873385043,      -3.692874438,      -5.375191616,       -1.40964982
          0,           0,         121,      -6.703197569,      -3.710298548,       -5.37841651,      -1.240150743
          0,           0,         122,      -6.583962878,      -3.734592271,       -5.38558829,      -1.121341206
          0,           0,         123,      -6.495501696,       -3.76650616,       -5.39654361,      -1.033157955
          0,           0,         124,      -6.427678379,      -3.807181425,      -5.411251958,     -0.9655226268
          0,           0,         125,      -6.374929049,      -3.858343577,       -5.42981809,     -0.9128994548
          0,           0,         126,      -6.333946076,      -3.922669941,       -5.45244392,     -0.8719966711
          0,           0,         127,      -6.302647884,      -4.004541944,      -5.479406059,     -0.8407433222
          0,           0,         128,      -6.279677756,      -4.111768906,      -5.511008315,     -0.8177910336
          0,           0,         129,      -6.264139997,      -4.260263383,      -5.547513843,     -0.8022514734
          0,           0,         130,       -6.25545384,      -4.490486302,      -5.589039419,     -0.7935507881
          0,           0,         131,      -6.253271234,      -4.937821251,      -5.635359555,     -0.7913475523
          0,           0,         132,      -6.257432885,      -4.771059746,      -5.685550821,     -0.7954888178
          0,           0,         133,      -6.267950408,      -4.419621608,      -5.737359919,      -0.805992206
          0,           0,         134,      -6.285009796,      -4.227992051,       -5.78634309,     -0.8230493459
          0,           0,         135,      -6.308996804,      -4.101126163,       -5.82537608,     -0.8470512831
          0,           0,         136,      -6.340550415,      -4.009338309,      -5.846239139,     -0.8786421247
          0,           0,         137,      -6.380659208,      -3.939992529,      -5.844236645,     -0.9188158148
          0,           0,         138,      -6.430831778,       -3.88659361,      -5.821874741,     -0.9690874222
          0,           0,         139,      -6.493407878,      -3.845392503,      -5.786694603,      -1.031806068
          0,           0,         140,      -6.572165911,      -3.814059641,      -5.746280805,      -1.110766343
          0,           0,         141,      -6.673615394,      -3.791082587,       -5.70574383,      -1.212510215
          0,           0,         142,      -6.810069896,      -3.775463205,      -5.667822249,      -1.349425057
          0,           0,         143,      -7.007518361,      -3.766554948,      -5.633761218,      -1.547671287
          0,           0,         144,      -7.304107451,      -3.763972919,      -5.603949841,      -1.844846889
          0,           0,         145,       -7.30297197,       -3.76754593,      -5.578506192,      -1.837972349
          0,           0,         146,      -7.013594505,      -3.777293534,      -5.557506687,      -1.549493666
          0,           0,         147,      -6.823622767,      -3.793418792,      -5.541263794,      -1.360353112
          0,           0,         148,      -6.694260715,      -3.816334651,      -5.530128352,      -1.231450664
          0,           0,         149,      -6.599754552,      -3.846722031,      -5.524288317,      -1.137228416
          0,           0,         150,      -6.527891358,      -3.885625599,      -5.523724439,      -1.065552892
          0,           0,         151,      -6.472209609,      -3.934625941,      -5.528151579,      -1.009997639
          0,           0,         152,      -6.428955049,      -3.996162464,      -5.536990491,      -0.966826475
          0,           0,         153,      -6.395799042,      -4.074182389,      -5.549357277,     -0.9337217276
          0,           0,         154,      -6.371236162,      -4.175589973,      -5.564073856,     -0.9091857705
          0,           0,         155,      -6.354275074,      -4.314028387,      -5.579688157,     -0.8922336069
          0,           0,         156,       -6.34427002,      -4.522415655,      -5.594535541,     -0.8822250891
          0,           0,         157,      -6.340826416,      -4.909846207,      -5.606857073,     -0.8787708108
          0,           0,         158,       -6.34374958,      -4.968714124,      -5.615030378,     -0.8816809226
          0,           0,         159,       -6.35302187,       -4.55861178,      -5.617889107,     -0.8909422685
          0,           0,         160,      -6.368802099,      -4.346759985,      -5.615026329,     -0.9067177801
          0,           0,         161,      -6.391446857,      -4.210268114,       -5.60691192,     -0.9293678042
          0,           0,         162,      -6.421559016,      -4.112757095,      -5.594728125,      -0.959498684
          0,           0,         163,      -6.460076888,       -4.03952988,      -5.580016943,     -0.9980521303
