"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -6.116690257,      -3.873947552,      -5.376779268,     -0.6548559019
          0,           0,          76,      -6.097234164,      -3.996392193,      -5.427319691,     -0.6354094462
          0,           0,          77,      -6.084872895,      -4.172633553,       -5.48412392,     -0.6230310031
          0,           0,          78,      -6.079149152,      -4.468994294,       -5.54728048,     -0.6172734468
          0,           0,          79,      -6.079813979,      -4.873117097,      -5.615888459,     -0.6178981854
          0,           0,          80,      -6.086791692,      -4.405425326,      -5.686597815,     -0.6248399007
          0,           0,          81,      -6.100168996,      -4.147746575,      -5.751279005,     -0.6381953487
          0,           0,          82,      -6.120206103,      -3.991033121,      -5.795973882,     -0.6582341873
          0,           0,          83,      -6.147372327,      -3.882152719,      -5.807413349,     -0.6854344593
          0,           0,          84,      -6.182414533,      -3.801544795,      -5.785568544,     -0.7205512382
          0,           0,          85,       -6.22647732,       -3.73999954,      -5.743388462,     -0.7647375183
          0,           0,          86,      -6.281314542,      -3.692483128,      -5.694221424,     -0.8197573493
          0,           0,          87,      -6.349676908,      -3.655972447,      -5.645670321,     -0.8883767868
          0,           0,          88,      -6.436074057,      -3.628541916,      -5.600822817,     -0.9751331676
          0,           0,          89,      -6.548401339,      -3.608926727,        -5.5605686,       -1.08797812
          0,           0,          90,      -6.701628026,      -3.596295567,      -5.524835871,      -1.241997373
          0,           0,          91,      -6.923165142,       -3.59012546,       -5.49318103,      -1.464637372
          0,           0,          92,       -7.15415932,      -3.590132637,      -5.465278998,      -1.692325266
          0,           0,          93,       -6.97183143,      -3.596236046,      -5.441032668,       -1.50602348
          0,           0,          94,      -6.743109051,      -3.608534426,      -5.420864066,      -1.278748808
          0,           0,          95,      -6.587374614,      -3.627309706,      -5.405773656,      -1.123949322
          0,           0,          96,      -6.476154238,      -3.653079495,      -5.396395893,      -1.013289611
          0,           0,          97,      -6.392752093,      -3.686665455,       -5.39299668,     -0.9302497782
          0,           0,          98,      -6.328462638,      -3.729313979,      -5.395613497,     -0.8662027167
          0,           0,          99,      -6.278377659,      -3.782917763,      -5.404145172,     -0.8162782427
          0,           0,         100,      -6.239528467,      -3.850441874,      -5.418428552,     -0.7775290808
          0,           0,         101,      -6.210027963,      -3.936815036,        -5.4382162,     -0.7480824024
          0,           0,         102,      -6.188640742,      -4.051041648,        -5.4630563,     -0.7267139599
          0,           0,         103,      -6.174552449,      -4.212238172,       -5.49201679,     -0.7126192099
          0,           0,         104,      -6.167240502,       -4.47287699,      -5.523280393,     -0.7052847523
          0,           0,         105,      -6.166401209,      -4.993034725,      -5.553679646,     -0.7044156795
          0,           0,         106,      -6.171911718,      -4.589576874,      -5.578571273,     -0.7098975176
          0,           0,         107,      -6.183816645,       -4.28417045,      -5.592735567,     -0.7217827621
          0,           0,         108,      -6.202335825,      -4.109843115,      -5.592612781,     -0.7402985535
          0,           0,         109,      -6.227894732,      -3.991818555,       -5.57844721,     -0.7658771185
          0,           0,         110,       -6.26118497,      -3.905508236,      -5.554055005,     -0.7992164637
          0,           0,         111,      -6.303271637,       -3.83998452,      -5.524509149,     -0.8413882799
          0,           0,         112,      -6.355782848,       -3.78947552,      -5.494084901,     -0.8940286098
          0,           0,         113,      -6.421257361,      -3.750589562,      -5.465573528,     -0.9596879121
          0,           0,         114,      -6.503825416,      -3.721194774,       -5.44048334,      -1.042517353
          0,           0,         115,      -6.610662055,      -3.699898963,      -5.419466118,      -1.149735586
          0,           0,         116,      -6.755379757,      -3.685784185,      -5.402677465,      -1.295057617
          0,           0,         117,      -6.965299396,      -3.678262776,      -5.389986377,      -1.506027121
          0,           0,         118,       -7.24034035,       -3.67699752,      -5.381129569,      -1.780974164
          0,           0,         119,      -7.127253579,      -3.681853351,      -5.376103377,      -1.662812241
          0,           0,         120,      -6.873385567,      -3.692874034,      -5.375192035,      -1.409650337
          0,           0,         121,      -6.703197828,      -3.710298115,      -5.378416748,      -1.240150997
          0,           0,         122,      -6.583962978,      -3.734591806,      -5.385588297,      -1.121341301
          0,           0,         123,      -6.495501691,      -3.766505659,      -5.396543349,      -1.033157947
          0,           0,         124,      -6.427678299,      -3.807180881,      -5.411251404,     -0.9655225449
          0,           0,         125,      -6.374928912,      -3.858342981,      -5.429817214,      -0.912899316
          0,           0,         126,      -6.333945892,      -3.922669279,      -5.452442748,     -0.8719964862
          0,           0,         127,      -6.302647661,       -4.00454119,      -5.479404619,     -0.8407430981
          0,           0,         128,      -6.279677498,      -4.111768014,      -5.511006608,     -0.8177907749
          0,           0,         129,      -6.264139707,      -4.260262251,       -5.54751185,     -0.8022511832
          0,           0,         130,      -6.255453521,      -4.490484635,      -5.589037263,     -0.7935504685
          0,           0,         131,      -6.253270887,      -4.937818259,       -5.63535838,     -0.7913472041
          0,           0,         132,       -6.25743251,      -4.771061651,      -5.685549375,     -0.7954884417
          0,           0,         133,      -6.267950004,       -4.41962234,      -5.737358604,     -0.8059918015
          0,           0,         134,      -6.285009363,      -4.227992374,      -5.786342091,     -0.8230489118
          0,           0,         135,      -6.308996339,      -4.101126286,      -5.825375636,     -0.8470508171
          0,           0,         136,      -6.340549915,      -4.009338313,       -5.84623954,     -0.8786416233
          0,           0,         137,      -6.380658667,      -3.939992452,      -5.844237803,     -0.9188152723
          0,           0,         138,      -6.430831188,      -3.886593473,      -5.821876271,     -0.9690868298
          0,           0,         139,      -6.493407224,      -3.845392319,      -5.786696072,      -1.031805412
          0,           0,         140,      -6.572165171,      -3.814059418,      -5.746281945,      -1.110765601
          0,           0,         141,      -6.673614527,       -3.79108233,      -5.705744516,      -1.212509345
          0,           0,         142,       -6.81006882,      -3.775462917,      -5.667822495,      -1.349423978
          0,           0,         143,      -7.007516888,      -3.766554632,      -5.633761105,      -1.547669809
          0,           0,         144,       -7.30410552,      -3.763972575,      -5.603949484,       -1.84484496
          0,           0,         145,       -7.30297285,      -3.767545558,      -5.578505701,      -1.837973228
          0,           0,         146,      -7.013595177,      -3.777293134,      -5.557506143,      -1.549494329
          0,           0,         147,        -6.8236231,      -3.793418363,      -5.541263247,       -1.36035344
          0,           0,         148,      -6.694260858,       -3.81633419,      -5.530127832,      -1.231450803
          0,           0,         149,      -6.599754575,      -3.846721534,      -5.524287844,      -1.137228437
          0,           0,         150,      -6.527891298,       -3.88562506,       -5.52372403,       -1.06555283
          0,           0,         151,      -6.472209487,      -3.934625351,      -5.528151261,      -1.009997515
          0,           0,         152,      -6.428954877,       -3.99616181,      -5.536990294,     -0.9668263015
          0,           0,         153,      -6.395798828,      -4.074181648,      -5.549357246,     -0.9337215125
          0,           0,         154,      -6.371235912,      -4.175589104,      -5.564074031,     -0.9091855191
          0,           0,         155,      -6.354274791,      -4.314027302,      -5.579688564,      -0.892233323
          0,           0,         156,      -6.344269707,      -4.522414116,      -5.594536183,     -0.8822247748
          0,           0,         157,      -6.340826074,      -4.909843367,      -5.606857897,     -0.8787704676
          0,           0,         158,       -6.34374921,      -4.968716473,      -5.615031305,     -0.8816805509
          0,           0,         159,      -6.353021471,       -4.55861268,      -5.617890035,      -0.890941868
          0,           0,         160,       -6.36880167,      -4.346760383,      -5.615027135,     -0.9067173497
          0,           0,         161,      -6.391446396,      -4.210268282,       -5.60691251,     -0.9293673417
          0,           0,         162,      -6.421558519,      -4.112757128,      -5.594728466,     -0.9594981861
          0,           0,         163,       -6.46007635,      -4.039529825,      -5.580017044,     -0.9980515914
          0,           0,         164,      -6.508432231,      -3.983262361,      -5.564317805,      -1.046463689
          0,           0,         165,      -6.568842597,      -3.939811057,      -5.548932832,      -1.106956084
          0,           0,         166,      -6.644872615,      -3.906635056,      -5.534838005,      -1.183102742
          0,           0,         167,      -6.742641504,      -3.882097974,      -5.522695601,      -1.281040994
          0,           0,         168,      -6.873738631,       -3.86512265,      -5.512913668,      -1.412404737
          0,           0,         169,      -7.063422039,      -3.855007379,      -5.505716898,      -1.602586376
          0,           0,         170,      -7.369318039,      -3.851323408,      -5.501205286,      -1.909589947
          0,           0,         171,      -7.487651612,      -3.853857062,      -5.499526399,      -2.024932058
          0,           0,         172,      -7.151033669,      -3.862580183,      -5.500975236,        -1.6880354
          0,           0,         173,      -6.940021454,      -3.877652042,      -5.505742009,      -1.477434965
          0,           0,         174,      -6.801147736,      -3.899441865,      -5.513868164,      -1.338806565
          0,           0,         175,      -6.701297936,      -3.928573879,      -5.525372157,      -1.239113824
          0,           0,         176,      -6.625981483,      -3.966012908,      -5.540307652,       -1.16390398
